node_id,topology,hop_count,payload_bytes,algorithm,algo_type,operation,security_level,cycles,time_us,energy_uj,energy_mj
3,star,1,100,KYBER512,KEM,KEYGEN,1,649678,27069,1786,1.786
3,star,1,100,KYBER512,KEM,ENCAP,1,884848,36868,2433,2.433
2,star,1,100,KYBER512,KEM,KEYGEN,1,649678,27069,1786,1.786
3,star,1,100,KYBER512,KEM,DECAP,1,985258,41052,2709,2.709
2,star,1,100,KYBER512,KEM,ENCAP,1,884848,36868,2433,2.433
3,star,1,100,KYBER768,KEM,KEYGEN,3,1196692,49862,3290,3.29
2,star,1,100,KYBER512,KEM,DECAP,1,985258,41052,2709,2.709
3,star,1,100,KYBER768,KEM,ENCAP,3,1489909,62079,4097,4.097
2,star,1,100,KYBER768,KEM,KEYGEN,3,1196692,49862,3290,3.29
3,star,1,100,KYBER768,KEM,DECAP,3,1613744,67239,4437,4.437
2,star,1,100,KYBER768,KEM,ENCAP,3,1489909,62079,4097,4.097
3,star,1,100,KYBER1024,KEM,KEYGEN,5,1891737,78822,5202,5.202
2,star,1,100,KYBER768,KEM,DECAP,3,1613744,67239,4437,4.437
3,star,1,100,KYBER1024,KEM,ENCAP,5,2254703,93945,6200,6.2
4,star,1,100,KYBER512,KEM,KEYGEN,1,649678,27069,1786,1.786
2,star,1,100,KYBER1024,KEM,KEYGEN,5,1891737,78822,5202,5.202
3,star,1,100,KYBER1024,KEM,DECAP,5,2407858,100327,6621,6.621
4,star,1,100,KYBER512,KEM,ENCAP,1,884848,36868,2433,2.433
2,star,1,100,KYBER1024,KEM,ENCAP,5,2254703,93945,6200,6.2
3,star,1,100,DILITH2,SIG,KEYGEN,-1,1752194,73008,4818,4.818
4,star,1,100,KYBER512,KEM,DECAP,1,985258,41052,2709,2.709
2,star,1,100,KYBER1024,KEM,DECAP,5,2407858,100327,6621,6.621
3,star,1,100,DILITH2,SIG,SIGN,-1,9342087,389253,25690,25.69
4,star,1,100,KYBER768,KEM,KEYGEN,3,1196692,49862,3290,3.29
2,star,1,100,DILITH2,SIG,KEYGEN,-1,1752194,73008,4818,4.818
3,star,1,100,DILITH2,SIG,VERIFY,-1,2035881,84828,5598,5.598
4,star,1,100,KYBER768,KEM,ENCAP,3,1489909,62079,4097,4.097
2,star,1,100,DILITH2,SIG,SIGN,-1,9342087,389253,25690,25.69
3,star,1,100,DILITH3,SIG,KEYGEN,-1,2733423,113892,7516,7.516
4,star,1,100,KYBER768,KEM,DECAP,3,1613744,67239,4437,4.437
2,star,1,100,DILITH2,SIG,VERIFY,-1,2035881,84828,5598,5.598
3,star,1,100,DILITH3,SIG,SIGN,-1,14885750,620239,40935,40.935
4,star,1,100,KYBER1024,KEM,KEYGEN,5,1891737,78822,5202,5.202
2,star,1,100,DILITH3,SIG,KEYGEN,-1,2733423,113892,7516,7.516
3,star,1,100,DILITH3,SIG,VERIFY,-1,2946998,122791,8104,8.104
4,star,1,100,KYBER1024,KEM,ENCAP,5,2254703,93945,6200,6.2
2,star,1,100,DILITH3,SIG,SIGN,-1,14885750,620239,40935,40.935
3,star,1,100,DILITH5,SIG,KEYGEN,-1,3647486,151978,10030,10.03
4,star,1,100,KYBER1024,KEM,DECAP,5,2407858,100327,6621,6.621
2,star,1,100,DILITH3,SIG,VERIFY,-1,2946998,122791,8104,8.104
3,star,1,100,DILITH5,SIG,SIGN,-1,13615651,567318,37442,37.442
4,star,1,100,DILITH2,SIG,KEYGEN,-1,1752194,73008,4818,4.818
2,star,1,100,DILITH5,SIG,KEYGEN,-1,3647486,151978,10030,10.03
3,star,1,100,DILITH5,SIG,VERIFY,-1,4035259,168135,11096,11.096
4,star,1,100,DILITH2,SIG,SIGN,-1,9342087,389253,25690,25.69
2,star,1,100,DILITH5,SIG,SIGN,-1,13615651,567318,37442,37.442
3,star,1,100,FALCON512,SIG,KEYGEN,1,229088624,9545359,629993,629.993
4,star,1,100,DILITH2,SIG,VERIFY,-1,2035881,84828,5598,5.598
2,star,1,100,DILITH5,SIG,VERIFY,-1,4035259,168135,11096,11.096
3,star,1,100,FALCON512,SIG,SIGN,1,62225400,2592725,171119,171.119
4,star,1,100,DILITH3,SIG,KEYGEN,-1,2733423,113892,7516,7.516
2,star,1,100,FALCON512,SIG,KEYGEN,1,229088624,9545359,629993,629.993
3,star,1,100,FALCON512,SIG,VERIFY,1,473964,19748,1303,1.303
4,star,1,100,DILITH3,SIG,SIGN,-1,14885750,620239,40935,40.935
2,star,1,100,FALCON512,SIG,SIGN,1,62225400,2592725,171119,171.119
3,star,1,100,FALCON1024,SIG,KEYGEN,5,690147063,28756127,1897904,1897.904
4,star,1,100,DILITH3,SIG,VERIFY,-1,2946998,122791,8104,8.104
2,star,1,100,FALCON512,SIG,VERIFY,1,473964,19748,1303,1.303
3,star,1,100,FALCON1024,SIG,SIGN,5,136596407,5691516,375640,375.64
4,star,1,100,DILITH5,SIG,KEYGEN,-1,3647486,151978,10030,10.03
2,star,1,100,FALCON1024,SIG,KEYGEN,5,690147063,28756127,1897904,1897.904
3,star,1,100,FALCON1024,SIG,VERIFY,5,978558,40773,2691,2.691
4,star,1,100,DILITH5,SIG,SIGN,-1,13615651,567318,37442,37.442
2,star,1,100,FALCON1024,SIG,SIGN,5,136596407,5691516,375640,375.64
3,star,1,100,SPHINCS128,SIG,KEYGEN,1,16552135,689672,45518,45.518
4,star,1,100,DILITH5,SIG,VERIFY,-1,4035259,168135,11096,11.096
2,star,1,100,FALCON1024,SIG,VERIFY,5,978558,40773,2691,2.691
3,star,1,100,SPHINCS128,SIG,SIGN,1,521963206,21748466,1435398,1435.398
4,star,1,100,FALCON512,SIG,KEYGEN,1,229088624,9545359,629993,629.993
