algorithm,type,op1_ms,op2_ms,op3_ms,pk_bytes,sk_bytes,ct_or_sig_bytes
Kyber512,KEM,0.0352,0.0195,0.0131,800,1632,768
Kyber768,KEM,0.0214,0.0230,0.0172,1184,2400,1088
Kyber1024,KEM,0.0259,0.0307,0.0238,1568,3168,1568
ML-KEM-512,KEM,0.0169,0.0158,0.0164,800,1632,768
ML-KEM-768,KEM,0.0200,0.0231,0.0223,1184,2400,1088
ML-KEM-1024,KEM,0.0270,0.0286,0.0342,1568,3168,1568
Falcon-512,SIG,9.0148,0.3635,0.0719,897,1281,752
Falcon-1024,SIG,28.8729,0.7457,0.1462,1793,2305,1462
ML-DSA-44,SIG,0.0393,0.1106,0.0367,1312,2560,2420
ML-DSA-65,SIG,0.0701,0.1771,0.0636,1952,4032,3309
