source,algorithm,algo_type,operation,security_level,instructions,ticks,cycles,time_us,energy_uj,energy_mj
gem5,Kyber512,KEM,KEYGEN,1,1004680,526243500,33679.58,526.2435,34.7321,0.034732
gem5,Kyber512,KEM,ENCAP,1,1125732,596188500,38156.06,596.1885,39.3484,0.039348
gem5,Kyber512,KEM,DECAP,1,1230556,657851000,42102.46,657.851,43.4182,0.043418
gem5,Kyber768,KEM,KEYGEN,3,1058582,557896500,35705.38,557.8965,36.8212,0.036821
gem5,Kyber768,KEM,ENCAP,3,1251368,669306000,42835.58,669.306,44.1742,0.044174
gem5,Kyber768,KEM,DECAP,3,1420996,768860500,49207.07,768.8605,50.7448,0.050745
gem5,Kyber1024,KEM,KEYGEN,5,1131129,601441500,38492.26,601.4415,39.6951,0.039695
gem5,Kyber1024,KEM,ENCAP,5,1411418,764363000,48919.23,764.363,50.448,0.050448
gem5,Kyber1024,KEM,DECAP,5,1666035,914082000,58501.25,914.082,60.3294,0.060329
gem5,ML-KEM-512,KEM,KEYGEN,1,1046730,546797500,34995.04,546.7975,36.0886,0.036089
gem5,ML-KEM-512,KEM,ENCAP,1,1187481,624899500,39993.57,624.8995,41.2434,0.041243
gem5,ML-KEM-512,KEM,DECAP,1,1358552,719673500,46059.1,719.6735,47.4985,0.047498
gem5,ML-KEM-768,KEM,KEYGEN,3,1109614,582201500,37260.9,582.2015,38.4253,0.038425
gem5,ML-KEM-768,KEM,ENCAP,3,1311387,694517000,44449.09,694.517,45.8381,0.045838
gem5,ML-KEM-768,KEM,DECAP,3,1556727,830752000,53168.13,830.752,54.8296,0.05483
gem5,ML-KEM-1024,KEM,KEYGEN,5,1209103,637608000,40806.91,637.608,42.0821,0.042082
gem5,ML-KEM-1024,KEM,ENCAP,5,1517961,809398000,51801.47,809.398,53.4203,0.05342
gem5,ML-KEM-1024,KEM,DECAP,5,1888189,1014679500,64939.49,1014.6795,66.9688,0.066969
gem5,ML-DSA-44,SIG,KEYGEN,2,1383960,734610500,47015.07,734.6105,48.4843,0.048484
gem5,ML-DSA-44,SIG,SIGN,2,2276270,1234296000,78994.94,1234.296,81.4635,0.081464
gem5,ML-DSA-44,SIG,VERIFY,2,2717016,1479004500,94656.29,1479.0045,97.6143,0.097614
gem5,ML-DSA-65,SIG,KEYGEN,3,1729955,926516000,59297.02,926.516,61.1501,0.06115
gem5,ML-DSA-65,SIG,SIGN,3,2633678,1429620500,91495.71,1429.6205,94.355,0.094355
gem5,ML-DSA-65,SIG,VERIFY,3,3385397,1846121500,118151.78,1846.1215,121.844,0.121844
gem5,ML-DSA-87,SIG,KEYGEN,5,2311900,1249522000,79969.41,1249.522,82.4685,0.082468
gem5,ML-DSA-87,SIG,SIGN,5,4125784,2257699000,144492.74,2257.699,149.0081,0.149008
gem5,ML-DSA-87,SIG,VERIFY,5,5437585,2984356500,190998.82,2984.3565,196.9675,0.196968
gem5,Falcon-512,SIG,KEYGEN,1,39296848,20017377000,1281112.13,20017.377,1321.1469,1.321147
gem5,Falcon-512,SIG,SIGN,1,40755364,20895378500,1337304.22,20895.3785,1379.095,1.379095
gem5,Falcon-512,SIG,VERIFY,1,41104846,21083726500,1349358.5,21083.7265,1391.5259,1.391526
gem5,Falcon-1024,SIG,KEYGEN,5,124847496,63625078000,4072004.99,63625.078,4199.2551,4.199255
gem5,Falcon-1024,SIG,SIGN,5,127775399,65404333500,4185877.34,65404.3335,4316.686,4.316686
gem5,Falcon-1024,SIG,VERIFY,5,128457057,65770152500,4209289.76,65770.1525,4340.8301,4.34083
