source,algorithm,algo_type,operation,security_level,instructions,ticks,cycles,time_us,energy_uj,energy_mj
gem5,Kyber512,KEM,KEYGEN,1,619447,376171500,24074.98,376.1715,24.8273,0.024827
gem5,Kyber512,KEM,ENCAP,1,806210,482071000,30852.54,482.071,31.8167,0.031817
gem5,Kyber512,KEM,DECAP,1,813465,498643000,31913.15,498.643,32.9104,0.03291
gem5,Kyber768,KEM,KEYGEN,3,1004095,609658500,39018.14,609.6585,40.2375,0.040237
gem5,Kyber768,KEM,ENCAP,3,1288062,769743000,49263.55,769.743,50.803,0.050803
gem5,Kyber768,KEM,DECAP,3,1285883,785868000,50295.55,785.868,51.8673,0.051867
gem5,Kyber1024,KEM,KEYGEN,5,1574671,947047000,60611.01,947.047,62.5051,0.062505
gem5,Kyber1024,KEM,ENCAP,5,1929183,1151443500,73692.38,1151.4435,75.9953,0.075995
gem5,Kyber1024,KEM,DECAP,5,1920214,1167177000,74699.33,1167.177,77.0337,0.077034
gem5,ML-KEM-512,KEM,KEYGEN,1,527022,309981000,19838.78,309.981,20.4587,0.020459
gem5,ML-KEM-512,KEM,ENCAP,1,568299,337767500,21617.12,337.7675,22.2927,0.022293
gem5,ML-KEM-512,KEM,DECAP,1,700646,417513000,26720.83,417.513,27.5559,0.027556
gem5,ML-KEM-768,KEM,KEYGEN,3,871247,513077500,32836.96,513.0775,33.8631,0.033863
gem5,ML-KEM-768,KEM,ENCAP,3,903136,537401500,34393.7,537.4015,35.4685,0.035468
gem5,ML-KEM-768,KEM,DECAP,3,1090813,650150500,41609.63,650.1505,42.9099,0.04291
gem5,ML-KEM-1024,KEM,KEYGEN,5,1379586,807939000,51708.1,807.939,53.324,0.053324
gem5,ML-KEM-1024,KEM,ENCAP,5,1436597,850168500,54410.78,850.1685,56.1111,0.056111
gem5,ML-KEM-1024,KEM,DECAP,5,1682027,996350500,63766.43,996.3505,65.7591,0.065759
gem5,ML-DSA-44,SIG,KEYGEN,2,2076286,1226147000,78473.41,1226.147,80.9257,0.080926
gem5,ML-DSA-44,SIG,SIGN,2,5690037,3488367000,223255.49,3488.367,230.2322,0.230232
gem5,ML-DSA-44,SIG,VERIFY,2,2064702,1239303000,79315.39,1239.303,81.794,0.081794
gem5,ML-DSA-65,SIG,KEYGEN,3,3597533,2110262500,135056.8,2110.2625,139.2773,0.139277
gem5,ML-DSA-65,SIG,SIGN,3,4472951,2698213500,172685.66,2698.2135,178.0821,0.178082
gem5,ML-DSA-65,SIG,VERIFY,3,3474117,2063468500,132061.98,2063.4685,136.1889,0.136189
gem5,ML-DSA-87,SIG,KEYGEN,5,6136921,3594038000,230018.43,3594.038,237.2065,0.237207
gem5,ML-DSA-87,SIG,SIGN,5,11216615,6777735000,433775.04,6777.735,447.3305,0.447331
gem5,ML-DSA-87,SIG,VERIFY,5,5968089,3523485500,225503.07,3523.4855,232.55,0.23255
gem5,Falcon-512,SIG,KEYGEN,1,251746781,163210571000,10445476.54,163210.571,10771.8977,10.771898
gem5,Falcon-512,SIG,SIGN,1,51787017,35264541000,2256930.62,35264.541,2327.4597,2.32746
gem5,Falcon-512,SIG,VERIFY,1,639164,417701000,26732.86,417.701,27.5683,0.027568
gem5,Falcon-1024,SIG,KEYGEN,5,366482896,244909299000,15674195.14,244909.299,16164.0137,16.164014
gem5,Falcon-1024,SIG,SIGN,5,113116132,77024443000,4929564.35,77024.443,5083.6132,5.083613
gem5,Falcon-1024,SIG,VERIFY,5,1242518,820378000,52504.19,820.378,54.1449,0.054145
