source,algorithm,algo_type,operation,security_level,ns,cycles,time_us,energy_uj,energy_mj
gem5,Kyber512,KEM,KEYGEN,1,50692,3244,50.69,3.3457,0.003346
gem5,Kyber512,KEM,ENCAP,1,69951,4476,69.95,4.6168,0.004617
gem5,Kyber512,KEM,DECAP,1,61658,3946,61.66,4.0694,0.004069
gem5,Kyber768,KEM,KEYGEN,3,81343,5205,81.34,5.3686,0.005369
gem5,Kyber768,KEM,ENCAP,3,110934,7099,110.93,7.3216,0.007322
gem5,Kyber768,KEM,DECAP,3,99074,6340,99.07,6.5389,0.006539
gem5,Kyber1024,KEM,KEYGEN,5,128103,8198,128.1,8.4548,0.008455
gem5,Kyber1024,KEM,ENCAP,5,165802,10611,165.8,10.9429,0.010943
gem5,Kyber1024,KEM,DECAP,5,152574,9764,152.57,10.0699,0.01007
gem5,ML-KEM-512,KEM,KEYGEN,1,63036,4034,63.04,4.1604,0.00416
gem5,ML-KEM-512,KEM,ENCAP,1,70281,4497,70.28,4.6385,0.004639
gem5,ML-KEM-512,KEM,DECAP,1,86964,5565,86.96,5.7396,0.00574
gem5,ML-KEM-768,KEM,KEYGEN,3,105645,6761,105.64,6.9726,0.006973
gem5,ML-KEM-768,KEM,ENCAP,3,112262,7184,112.26,7.4093,0.007409
gem5,ML-KEM-768,KEM,DECAP,3,136180,8715,136.18,8.9879,0.008988
gem5,ML-KEM-1024,KEM,KEYGEN,5,160995,10303,161.0,10.6257,0.010626
gem5,ML-KEM-1024,KEM,ENCAP,5,171811,10995,171.81,11.3395,0.01134
gem5,ML-KEM-1024,KEM,DECAP,5,205263,13136,205.26,13.5474,0.013547
gem5,ML-DSA-44,SIG,KEYGEN,2,258497,16543,258.5,17.0608,0.017061
gem5,ML-DSA-44,SIG,SIGN,2,499528,31969,499.53,32.9688,0.032969
gem5,ML-DSA-44,SIG,VERIFY,2,244710,15661,244.71,16.1509,0.016151
gem5,ML-DSA-65,SIG,KEYGEN,3,450357,28822,450.36,29.7236,0.029724
gem5,ML-DSA-65,SIG,SIGN,3,1507805,96499,1507.81,99.5151,0.099515
gem5,ML-DSA-65,SIG,VERIFY,3,416552,26659,416.55,27.4924,0.027492
gem5,ML-DSA-87,SIG,KEYGEN,5,773404,49497,773.4,51.0447,0.051045
gem5,ML-DSA-87,SIG,SIGN,5,1018171,65162,1018.17,67.1993,0.067199
gem5,ML-DSA-87,SIG,VERIFY,5,726403,46489,726.4,47.9426,0.047943
gem5,Falcon-512,SIG,KEYGEN,1,49015156,3136969,49015.16,3235.0003,3.235
gem5,Falcon-512,SIG,SIGN,1,883977,56574,883.98,58.3425,0.058342
gem5,Falcon-512,SIG,VERIFY,1,188357,12054,188.36,12.4316,0.012432
gem5,Falcon-1024,SIG,KEYGEN,5,68491737,4383471,68491.74,4520.4546,4.520455
gem5,Falcon-1024,SIG,SIGN,5,1782742,114095,1782.74,117.661,0.117661
gem5,Falcon-1024,SIG,VERIFY,5,366007,23424,366.01,24.1565,0.024156
