source,algorithm,algo_type,operation,security_level,ns,cycles,time_us,energy_uj,energy_mj
gem5,Kyber512,KEM,KEYGEN,1,50692,3244,50.69,3.3457,0.003346
gem5,Kyber512,KEM,ENCAP,1,69952,4476,69.95,4.6168,0.004617
gem5,Kyber512,KEM,DECAP,1,61658,3946,61.66,4.0694,0.004069
gem5,Kyber768,KEM,KEYGEN,3,82102,5254,82.1,5.4187,0.005419
gem5,Kyber768,KEM,ENCAP,3,111415,7130,111.42,7.3534,0.007353
gem5,Kyber768,KEM,DECAP,3,99555,6371,99.56,6.5706,0.006571
gem5,Kyber1024,KEM,KEYGEN,5,125543,8034,125.54,8.2858,0.008286
gem5,Kyber1024,KEM,ENCAP,5,162944,10428,162.94,10.7543,0.010754
gem5,Kyber1024,KEM,DECAP,5,149714,9581,149.71,9.8811,0.009881
gem5,ML-KEM-512,KEM,KEYGEN,1,71152,4553,71.15,4.696,0.004696
gem5,ML-KEM-512,KEM,ENCAP,1,78109,4998,78.11,5.1552,0.005155
gem5,ML-KEM-512,KEM,DECAP,1,94769,6065,94.77,6.2548,0.006255
gem5,ML-KEM-768,KEM,KEYGEN,3,106290,6802,106.29,7.0151,0.007015
gem5,ML-KEM-768,KEM,ENCAP,3,112327,7188,112.33,7.4136,0.007414
gem5,ML-KEM-768,KEM,DECAP,3,136230,8718,136.23,8.9912,0.008991
gem5,ML-KEM-1024,KEM,KEYGEN,5,161585,10341,161.59,10.6646,0.010665
gem5,ML-KEM-1024,KEM,ENCAP,5,171806,10995,171.81,11.3392,0.011339
gem5,ML-KEM-1024,KEM,DECAP,5,205277,13137,205.28,13.5483,0.013548
gem5,ML-DSA-44,SIG,KEYGEN,2,259235,16591,259.24,17.1095,0.01711
gem5,ML-DSA-44,SIG,SIGN,2,499660,31978,499.66,32.9776,0.032978
gem5,ML-DSA-44,SIG,VERIFY,2,244727,15662,244.73,16.152,0.016152
gem5,ML-DSA-65,SIG,KEYGEN,3,451099,28870,451.1,29.7725,0.029773
gem5,ML-DSA-65,SIG,SIGN,3,503079,32197,503.08,33.2032,0.033203
gem5,ML-DSA-65,SIG,VERIFY,3,416519,26657,416.52,27.4903,0.02749
gem5,ML-DSA-87,SIG,KEYGEN,5,774061,49539,774.06,51.088,0.051088
gem5,ML-DSA-87,SIG,SIGN,5,1008146,64521,1008.15,66.5376,0.066538
gem5,ML-DSA-87,SIG,VERIFY,5,726681,46507,726.68,47.9609,0.047961
gem5,Falcon-512,SIG,KEYGEN,1,19542171,1250698,19542.17,1289.7833,1.289783
gem5,Falcon-512,SIG,SIGN,1,878024,56193,878.02,57.9496,0.05795
gem5,Falcon-512,SIG,VERIFY,1,188329,12053,188.33,12.4297,0.01243
gem5,Falcon-1024,SIG,KEYGEN,5,63149643,4041577,63149.64,4167.8764,4.167876
gem5,Falcon-1024,SIG,SIGN,5,1779266,113873,1779.27,117.4316,0.117432
gem5,Falcon-1024,SIG,VERIFY,5,365812,23411,365.81,24.1436,0.024144
