algorithm,operation,family,type,security_level,lattice_dim,uses_fpu,pk_bytes,sk_bytes,ct_or_sig_bytes,instructions,time_us,energy_mj,iot_feasible
Kyber512,KEYGEN,Kyber,KEM,1,256,0,800,1632,768,1004680,526.2435,0.034732,1
Kyber512,ENCAP,Kyber,KEM,1,256,0,800,1632,768,1125732,596.1885,0.039348,1
Kyber512,DECAP,Kyber,KEM,1,256,0,800,1632,768,1230556,657.851,0.043418,1
Kyber768,KEYGEN,Kyber,KEM,3,256,0,1184,2400,1088,1058582,557.8965,0.036821,1
Kyber768,ENCAP,Kyber,KEM,3,256,0,1184,2400,1088,1251368,669.306,0.044174,1
Kyber768,DECAP,Kyber,KEM,3,256,0,1184,2400,1088,1420996,768.8605,0.050745,1
Kyber1024,KEYGEN,Kyber,KEM,5,256,0,1568,3168,1568,1131129,601.4415,0.039695,1
Kyber1024,ENCAP,Kyber,KEM,5,256,0,1568,3168,1568,1411418,764.363,0.050448,1
Kyber1024,DECAP,Kyber,KEM,5,256,0,1568,3168,1568,1666035,914.082,0.060329,1
ML-KEM-512,KEYGEN,ML-KEM,KEM,1,256,0,800,1632,768,1046730,546.7975,0.036089,1
ML-KEM-512,ENCAP,ML-KEM,KEM,1,256,0,800,1632,768,1187481,624.8995,0.041243,1
ML-KEM-512,DECAP,ML-KEM,KEM,1,256,0,800,1632,768,1358552,719.6735,0.047498,1
ML-KEM-768,KEYGEN,ML-KEM,KEM,3,256,0,1184,2400,1088,1109614,582.2015,0.038425,1
ML-KEM-768,ENCAP,ML-KEM,KEM,3,256,0,1184,2400,1088,1311387,694.517,0.045838,1
ML-KEM-768,DECAP,ML-KEM,KEM,3,256,0,1184,2400,1088,1556727,830.752,0.05483,1
ML-KEM-1024,KEYGEN,ML-KEM,KEM,5,256,0,1568,3168,1568,1209103,637.608,0.042082,1
ML-KEM-1024,ENCAP,ML-KEM,KEM,5,256,0,1568,3168,1568,1517961,809.398,0.05342,1
ML-KEM-1024,DECAP,ML-KEM,KEM,5,256,0,1568,3168,1568,1888189,1014.6795,0.066969,1
ML-DSA-44,KEYGEN,ML-DSA,SIG,2,256,0,1312,2528,2420,1383960,734.6105,0.048484,1
ML-DSA-44,SIGN,ML-DSA,SIG,2,256,0,1312,2528,2420,2276270,1234.296,0.081464,1
ML-DSA-44,VERIFY,ML-DSA,SIG,2,256,0,1312,2528,2420,2717016,1479.0045,0.097614,1
ML-DSA-65,KEYGEN,ML-DSA,SIG,3,256,0,1952,4000,3309,1729955,926.516,0.06115,1
ML-DSA-65,SIGN,ML-DSA,SIG,3,256,0,1952,4000,3309,2633678,1429.6205,0.094355,1
ML-DSA-65,VERIFY,ML-DSA,SIG,3,256,0,1952,4000,3309,3385397,1846.1215,0.121844,1
ML-DSA-87,KEYGEN,ML-DSA,SIG,5,256,0,2592,4864,4595,2311900,1249.522,0.082468,1
ML-DSA-87,SIGN,ML-DSA,SIG,5,256,0,2592,4864,4595,4125784,2257.699,0.149008,1
ML-DSA-87,VERIFY,ML-DSA,SIG,5,256,0,2592,4864,4595,5437585,2984.3565,0.196968,1
Falcon-512,KEYGEN,Falcon,SIG,1,512,1,897,1281,666,39296848,20017.377,1.321147,0
Falcon-512,SIGN,Falcon,SIG,1,512,1,897,1281,666,40755364,20895.3785,1.379095,1
Falcon-512,VERIFY,Falcon,SIG,1,512,1,897,1281,666,41104846,21083.7265,1.391526,1
Falcon-1024,KEYGEN,Falcon,SIG,5,1024,1,1793,2305,1280,124847496,63625.078,4.199255,0
Falcon-1024,SIGN,Falcon,SIG,5,1024,1,1793,2305,1280,127775399,65404.3335,4.316686,1
Falcon-1024,VERIFY,Falcon,SIG,5,1024,1,1793,2305,1280,128457057,65770.1525,4.34083,1
